customerFK,recency,frequency,monetary_total,monetary_trend,churn,churn_probability,segment
468,645,2,60.0,0.9999999999666667,1,1.0,3
470,655,2,60.0,0.9999999999666667,1,1.0,3
314,231,2,100.0,0.9999999999800001,1,1.0,3
313,231,2,100.0,0.9999999999800001,1,1.0,3
391,323,2,100.0,0.9999999999800001,1,1.0,3
377,307,2,258.0,0.9999999999922481,1,1.0,1
339,260,2,172.0,0.9999999999883721,1,1.0,1
375,307,2,258.0,0.9999999999922481,1,1.0,1
322,238,2,100.0,0.9999999999800001,1,1.0,3
319,237,2,90.0,0.9999999999777779,1,1.0,3
394,323,2,100.0,0.9999999999800001,1,1.0,3
393,323,2,100.0,0.9999999999800001,1,1.0,3
204,130,2,200.0,0.99999999999,1,1.0,1
209,134,2,170.0,0.9999999999882353,1,1.0,1
196,124,2,200.0,0.99999999999,1,1.0,1
352,275,2,258.0,0.9999999999922481,1,1.0,1
351,274,2,100.0,0.9999999999800001,1,1.0,3
346,266,2,172.0,0.9999999999883721,1,1.0,1
253,168,2,172.0,0.9999999999883721,1,1.0,1
259,174,2,172.0,0.9999999999883721,1,1.0,1
263,178,2,60.0,0.9999999999666667,1,1.0,3
364,291,2,258.0,0.9999999999922481,1,1.0,1
362,290,2,258.0,0.9999999999922481,1,1.0,1
358,278,2,100.0,0.9999999999800001,1,1.0,3
355,277,2,100.0,0.9999999999800001,1,1.0,3
354,277,2,100.0,0.9999999999800001,1,1.0,3
261,178,2,60.0,0.9999999999666667,1,1.0,3
211,134,2,200.0,0.99999999999,1,1.0,1
210,134,2,200.0,0.99999999999,1,1.0,1
281,204,2,172.0,0.9999999999883721,1,1.0,1
294,214,2,60.0,0.9999999999666667,1,1.0,3
248,154,2,200.0,0.99999999999,1,1.0,1
288,205,2,60.0,0.9999999999666667,1,1.0,3
286,205,2,172.0,0.9999999999883721,1,1.0,1
279,203,2,100.0,0.9999999999800001,1,1.0,1
162,734,2,60.0,0.9999999999666667,1,1.0,3
291,211,2,258.0,0.9999999999922481,1,1.0,1
167,91,2,96.0,0.9999999999791668,1,1.0,1
370,304,2,258.0,0.9999999999922481,1,1.0,1
365,301,2,258.0,0.9999999999922481,1,1.0,1
404,323,2,100.0,0.9999999999800001,1,1.0,3
401,323,2,100.0,0.9999999999800001,1,1.0,3
437,349,2,92.0,0.999999999978261,1,1.0,3
438,353,2,60.0,0.9999999999666667,1,1.0,3
439,353,2,60.0,0.9999999999666667,1,1.0,3
440,356,2,96.0,0.9999999999791668,1,1.0,3
447,375,2,60.0,0.9999999999666667,1,1.0,3
457,493,2,60.0,0.9999999999666667,1,1.0,3
464,570,2,60.0,0.9999999999666667,1,1.0,3
448,388,2,56.0,0.9999999999642857,1,1.0,3
228,144,2,200.0,0.99999999999,1,1.0,1
454,463,2,96.0,0.9999999999791668,1,1.0,3
465,571,2,60.0,0.9999999999666667,1,1.0,3
467,605,2,60.0,0.9999999999666667,1,1.0,3
417,324,2,100.0,0.9999999999800001,1,1.0,3
408,323,2,100.0,0.9999999999800001,1,1.0,3
428,332,2,60.0,0.9999999999666667,1,1.0,3
420,324,2,100.0,0.9999999999800001,1,1.0,3
443,371,2,60.0,0.9999999999666667,1,1.0,3
444,373,2,60.0,0.9999999999666667,1,1.0,3
450,405,2,60.0,0.9999999999666667,1,1.0,3
202,129,2,218.0,0.9999999999908257,1,1.0,1
216,135,2,200.0,0.99999999999,1,1.0,1
273,191,2,100.0,0.9999999999800001,1,1.0,1
215,135,2,200.0,0.99999999999,1,1.0,1
369,302,2,184.0,0.9999999999891304,1,0.9959994996247186,1
234,149,2,184.0,0.9999999999891304,1,0.9959994996247186,1
323,239,2,184.0,0.9999999999891304,1,0.9959994996247186,1
385,321,2,184.0,0.9999999999891304,1,0.9959994996247186,1
380,312,2,184.0,0.9999999999891304,1,0.9959994996247186,1
335,254,2,184.0,0.9999999999891304,1,0.9959994996247186,1
382,315,2,184.0,0.9999999999891304,1,0.9959994996247186,1
293,213,2,184.0,0.9999999999891304,1,0.9959994996247186,1
232,146,2,184.0,0.9999999999891304,1,0.9959994996247186,1
297,217,2,184.0,0.9999999999891304,1,0.9959994996247186,1
194,124,2,168.0,0.9999999999880952,1,0.995,1
243,151,2,168.0,0.9999999999880952,1,0.995,1
255,171,2,168.0,0.9999999999880952,1,0.995,1
451,421,2,90.0,0.9999999999777779,1,0.9937995460191318,3
462,547,2,28.0,0.9999999999285715,1,0.9918350605416738,3
471,660,2,68.0,0.9999999999705883,1,0.9914935755159783,3
246,152,3,284.70000000000005,0.9999999999894625,1,0.9907404196948896,2
237,150,3,284.70000000000005,0.9999999999894625,1,0.9907404196948896,2
190,121,3,282.0,0.9999999999893616,1,0.9907146960561897,2
269,185,2,240.0,0.9999999999916667,1,0.9861542484575918,1
305,225,2,240.0,0.9999999999916667,1,0.9861542484575918,1
308,228,2,240.0,0.9999999999916667,1,0.9861542484575918,1
441,361,2,240.0,0.9999999999916667,1,0.9861542484575918,1
67,758,2,38.0,0.9999999999473684,1,0.984693408750583,3
405,323,2,100.0,0.9999999999800001,1,0.9844784590865884,3
