Modèle,Accuracy,Precision (W),Recall (W),F1 (Weighted),ROC-AUC (W),CV F1 Mean,CV F1 Std
Random Forest,0.9580573951434879,0.9574684053988689,0.9580573951434879,0.9543744204889495,0.9993977913269303,0.9522246449913723,0.007848426632748243
Logistic Regression,0.9072847682119205,0.9082839927388866,0.9072847682119205,0.9058471401163573,0.9943235198434125,0.9126156138584601,0.01075346028175935
