customerFK,recency,frequency,monetary_total,churn_probability,segment_name
3832,323,2,50.0,1.0,Lost Customers
3831,323,3,345.0,1.0,Regular Buyers
3830,323,2,100.0,1.0,Lost Customers
3829,323,2,100.0,1.0,Lost Customers
3828,323,2,50.0,1.0,Lost Customers
3827,323,2,50.0,1.0,Lost Customers
3826,323,2,100.0,1.0,Lost Customers
3825,323,2,50.0,1.0,Lost Customers
3824,323,2,50.0,1.0,Lost Customers
3823,323,2,50.0,1.0,Lost Customers
3822,323,2,50.0,1.0,Lost Customers
3821,323,2,100.0,1.0,Lost Customers
3820,323,3,150.0,1.0,Regular Buyers
3819,323,2,100.0,1.0,Lost Customers
3818,323,2,100.0,1.0,Lost Customers
3900,734,2,60.0,1.0,Lost Customers
3899,682,4,72.0,1.0,Regular Buyers
3898,660,2,68.0,1.0,Lost Customers
3897,655,2,60.0,1.0,Lost Customers
3896,649,3,87.0,1.0,Lost Customers
3895,645,2,60.0,1.0,Lost Customers
3894,605,2,60.0,1.0,Lost Customers
3893,585,4,180.0,1.0,Regular Buyers
3892,571,2,60.0,1.0,Lost Customers
3891,570,2,60.0,1.0,Lost Customers
3889,547,2,28.0,1.0,Lost Customers
3888,530,3,225.0,1.0,Regular Buyers
3887,521,3,225.0,1.0,Regular Buyers
3886,515,2,116.0,1.0,Lost Customers
3885,503,2,130.0,1.0,Lost Customers
3585,94,3,240.0,0.99,Regular Buyers
3591,100,2,180.0,0.99,Active Loyal
3594,102,2,180.0,0.99,Active Loyal
3599,115,2,40.0,0.99,Active Loyal
3890,551,5,845.0,0.99,High-Value Buyers
3688,186,3,285.0,0.99,Regular Buyers
3731,229,6,540.0,0.99,High-Value Buyers
3694,197,4,400.0,0.99,High-Value Buyers
3693,196,4,440.0,0.99,High-Value Buyers
3715,217,4,640.0,0.99,High-Value Buyers
3761,256,3,285.0,0.99,Regular Buyers
3757,254,4,340.0,0.99,High-Value Buyers
3602,120,3,264.0,0.99,Regular Buyers
3652,149,4,344.0,0.99,High-Value Buyers
2685,351,1,186.0,0.99,Lost Customers
3878,421,2,90.0,0.99,Lost Customers
3629,135,2,180.0,0.99,Active Loyal
3859,342,4,420.0,0.99,High-Value Buyers
3658,151,2,180.0,0.99,Active Loyal
3657,151,2,180.0,0.99,Active Loyal
3623,134,2,170.0,0.99,Active Loyal
3622,133,2,180.0,0.99,Active Loyal
