Modèle,Accuracy,Precision (W),Recall (W),F1 (Weighted),ROC-AUC (W),CV F1 Mean,CV F1 Std
Random Forest,0.9558498896247241,0.9547622461494477,0.9558498896247241,0.9519321621519885,0.9993604002852343,0.9532145538295176,0.008820179049365296
Logistic Regression,0.9249448123620309,0.9253337660327439,0.9249448123620309,0.9238920026356123,0.9962828417286579,0.9171342823641876,0.007598832893555812
