category,nb_produits_sougui
habillement,995
gifts,867
homeware,791
cosmetiques et soins,659
bijoux,539
arts de la table,379
accessories,369
gastronomy,307
handcrafted ceramics,262
olive wood,152
rugs & kilim,131
social projects,47
fouta towel & blankets,46
rangements,12
la touche déco,12
coffrets cadeaux,11
luminaires,8
nouveautés,6
linge de maison,5
