product,category,avg_price,nb_concurrents,confidence_score,product_score,feat_cat_popularity,feat_concurrent_coverage,niveau_recommandation,cat_score
a-collier médaillon,bijoux,70.0,1,1.0,0.9418230179948729,1.0,1.0,Priorite haute,0.8390456193049876
a-collier bleu vert,bijoux,70.0,1,1.0,0.9418230179948729,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif incrusté or,bijoux,70.0,1,1.0,0.9418230179948729,1.0,1.0,Priorite haute,0.8390456193049876
a-collier pierre jaune,bijoux,70.0,1,1.0,0.9418230179948729,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif filigrane,bijoux,70.0,1,1.0,0.9418230179948729,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles argent bois,bijoux,75.0,1,0.99,0.9411326390860058,1.0,1.0,Priorite haute,0.8390456193049876
a-bijou wasta,bijoux,75.0,1,0.99,0.9411326390860058,1.0,1.0,Priorite haute,0.8390456193049876
a-collier motif cuivre,bijoux,75.0,1,0.99,0.9411326390860058,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif céramique,bijoux,75.0,1,0.99,0.9411326390860058,1.0,1.0,Priorite haute,0.8390456193049876
a-sautoir chic,bijoux,75.0,1,0.99,0.9411326390860058,1.0,1.0,Priorite haute,0.8390456193049876
a-parure florale,bijoux,105.0,1,0.98,0.9409571284692714,1.0,1.0,Priorite haute,0.8390456193049876
a-collier perles et cuivre,bijoux,95.0,1,0.96,0.9406143329126456,1.0,1.0,Priorite haute,0.8390456193049876
a-parure cerceau,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif ruche,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-collier brodé pierres semi précieuses,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-collier pierre mauve,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-collier ethno chic,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles d'oreilles bleues,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif et boucles d'oreille perles,bijoux,120.0,1,1.0,0.9404266981806364,1.0,1.0,Priorite haute,0.8390456193049876
a-bague trendy,bijoux,90.0,1,0.96,0.9401946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-bague nemli,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-parure fantaisie,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-collier macramé,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles gomra,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-broche tanit,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet perle,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
