product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,cat_score,feat_price_attractiveness,product_score,niveau_recommandation
a-sac tiger,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8960919285179816,0.8561232740788381,Priorite haute
a-dengri femmes,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8960919285179816,0.8561232740788381,Priorite haute
a-kimono cherry,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8960919285179816,0.8561232740788381,Priorite haute
a-kachabiya,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8960919285179816,0.8561232740788381,Priorite haute
a-combinaison oversized,habillement,145.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.07875836856116843,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.9269916499779138,0.8551682601518348,Priorite haute
a-veste dengri,habillement,130.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.032837323968637325,1.0,1.0,habillement,0.98,True,0.7248873954551525,0.9682066834664136,0.8547290118262597,Priorite haute
a-tunique tissée,habillement,130.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.032837323968637325,1.0,1.0,habillement,0.98,True,0.7248873954551525,0.9682066834664136,0.8547290118262597,Priorite haute
a-chaussures velours,habillement,155.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.15315549691437225,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8671857374619576,0.854677964526037,Priorite haute
a-sac lily,habillement,155.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.15315549691437225,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8671857374619576,0.854677964526037,Priorite haute
a-bracelets fantaisie,bijoux,3.0,1,1,488,92.91122950819673,1,1.0,0.9677111046362115,1.0,1.0,bijoux,0.71,True,0.8390456193049876,0.5082046839314245,0.8546239199880674,Priorite haute
a-chaussures orange,habillement,119.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11467416515716154,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.8971231515525497,0.8536748352305666,Priorite haute
a-sac rond crochet,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8462874692539258,0.8536330511156354,Priorite haute
a-veste cuir brodée,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8462874692539258,0.8536330511156354,Priorite haute
a-sac brodé,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8462874692539258,0.8536330511156354,Priorite haute
a-sac tortue,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8462874692539258,0.8536330511156354,Priorite haute
a-liquette brodée,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8462874692539258,0.8536330511156354,Priorite haute
a-caftan hayek,habillement,160.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.1903540610909742,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8400861833356436,0.8533229868197213,Priorite haute
a-derbies python,habillement,160.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.1903540610909742,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8400861833356436,0.8533229868197213,Priorite haute
a-etole brodée,habillement,160.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.1903540610909742,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8400861833356436,0.8533229868197213,Priorite haute
a-veste longue,habillement,165.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2275526252675761,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8146290264191522,0.8520501289738966,Priorite haute
a-hassara,habillement,140.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.04155980438456651,1.0,1.0,habillement,0.97,True,0.7248873954551525,0.9600984943835048,0.8518236023721144,Priorite haute
"a-maillot ""trapèze""",habillement,140.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.04155980438456651,1.0,1.0,habillement,0.97,True,0.7248873954551525,0.9600984943835048,0.8518236023721144,Priorite haute
a-dengri hommes,habillement,140.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.04155980438456651,1.0,1.0,habillement,0.97,True,0.7248873954551525,0.9600984943835048,0.8518236023721144,Priorite haute
a-sweatshirt gris,habillement,102.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.24114928335760807,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8057048522759155,0.8516039202667348,Priorite haute
a-sweatshirt noir,habillement,102.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.24114928335760807,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.8057048522759155,0.8516039202667348,Priorite haute
a-robe-chemise coton,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.8462874692539258,0.8511330511156354,Priorite haute
a-poncho brodé,habillement,110.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.181631580675045,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.8462874692539258,0.8511330511156354,Priorite haute
a-sac fleuri,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-sac upcycled,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-cape brodée,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-robe kimono,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-robe prince,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-broderie manche,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-robe shantoung,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-paletot à capuche,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7961601457132852,0.8511266849386033,Priorite haute
a-couffin coquillage,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,0.98,True,0.7248873954551525,0.8960919285179816,0.8511232740788381,Priorite haute
a-couffin paon,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,0.98,True,0.7248873954551525,0.8960919285179816,0.8511232740788381,Priorite haute
a-pochette peinte,habillement,109.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.1890712935103654,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.840992466522179,0.8508683009790481,Priorite haute
a-jebba fleurie,habillement,170.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.264751189444178,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7906693493124693,0.8508521451185626,Priorite haute
a-echarpe tissée,habillement,170.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.264751189444178,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7906693493124693,0.8508521451185626,Priorite haute
a-jebba brodée,habillement,170.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.264751189444178,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7906693493124693,0.8508521451185626,Priorite haute
a-combi satin,habillement,170.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.264751189444178,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7906693493124693,0.8508521451185626,Priorite haute
a-dengri brodé,habillement,160.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.1903540610909742,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.8400861833356436,0.8508229868197213,Priorite haute
a-tongs cuir,habillement,98.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2709081346988896,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7868389324905262,0.8506606242774654,Priorite haute
a-robe céramique,habillement,125.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.07003588814523924,1.0,1.0,habillement,0.97,True,0.7248873954551525,0.9345480942077216,0.8505460823633252,Priorite haute
a-kachabiya brodée,habillement,172.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2796306151148188,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7814755197227538,0.8503924536390768,Priorite haute
a-sac frida,habillement,95.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.29322727320485076,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.773259287612934,0.8499816420335857,Priorite haute
a-veste jean's jelliz,habillement,95.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.29322727320485076,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.773259287612934,0.8499816420335857,Priorite haute
a-sac vintage,habillement,94.9,1,1,351,134.41378917378916,1,0.7192622950819673,0.29397124448838274,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7728147006816873,0.8499594126870235,Priorite haute
a-bottes longues,habillement,174.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.29451004078545956,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7724930425361846,0.8499433297797483,Priorite haute
a-abeya lin,habillement,140.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.04155980438456651,1.0,1.0,habillement,0.96,True,0.7248873954551525,0.9600984943835048,0.8493236023721144,Priorite haute
a-sac couffin jean's,habillement,90.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33042583738145265,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.751639040600867,0.8489006296829824,Priorite haute
a-couffin macramé,habillement,90.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33042583738145265,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.751639040600867,0.8489006296829824,Priorite haute
a-robe bretelles,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-blouse hayek,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-sac paon,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-cache-maillot calligraphié,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-sac nattes,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-kimanteau,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-jebba bicolore,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-kadroun,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-robe cérémonie,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-robe fluide,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-robe lin,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-jebba burnous,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-pochette dorée,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-chaussures brodées,habillement,180.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33914831779738186,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7467432745946992,0.848655841382674,Priorite haute
a-couffin corail,habillement,100.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.2560287090282488,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.7961601457132852,0.8486266849386034,Priorite haute
a-manteau rose,habillement,150.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.11595693273777034,1.0,1.0,habillement,0.97,True,0.7248873954551525,0.8960919285179816,0.8486232740788382,Priorite haute
a-robe taffetas,habillement,135.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.00436124020796459,1.0,1.0,habillement,0.95,True,0.7248873954551525,0.9956576976157885,0.8486015625337285,Priorite haute
a-robe licorne,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7311949091144897,0.8478784231086636,Priorite haute
a-robe portrait,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7311949091144897,0.8478784231086636,Priorite haute
a-t-shirt mona lisa,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7311949091144897,0.8478784231086636,Priorite haute
a-robe noire brodée,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7311949091144897,0.8478784231086636,Priorite haute
a-couffin estival,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7311949091144897,0.8478784231086636,Priorite haute
a-nuisette,habillement,185.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.37634688197398375,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.726561024039071,0.8476467288548927,Priorite haute
a-kmija revisitée,habillement,185.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.37634688197398375,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.726561024039071,0.8476467288548927,Priorite haute
a-robe pistache,habillement,95.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.29322727320485076,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.773259287612934,0.8474816420335858,Priorite haute
a-sandales rouges,habillement,95.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.29322727320485076,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.773259287612934,0.8474816420335858,Priorite haute
a-pochette brodée,habillement,130.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.032837323968637325,1.0,1.0,habillement,0.95,True,0.7248873954551525,0.9682066834664136,0.8472290118262598,Priorite haute
"a-maillot ""triangle""",habillement,130.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.032837323968637325,1.0,1.0,habillement,0.95,True,0.7248873954551525,0.9682066834664136,0.8472290118262598,Priorite haute
a-sandales macramé,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-chemise customisée,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-kachabiya jean's,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-tutu,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-kachabiya laine,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-robe sans manche,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-couffin tejna,habillement,80.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4048229657346565,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7118334654196423,0.8469103509239212,Priorite haute
a-maillot homme,habillement,92.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3155464117108119,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.7601404185349437,0.8468256985796864,Priorite haute
a-robe hayek,habillement,190.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4135454461505857,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7074409971913062,0.8466907275125044,Priorite haute
a-babouches cuir,habillement,90.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33042583738145265,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.751639040600867,0.8464006296829825,Priorite haute
a-jupe tissée,habillement,192.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.42842487182122646,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.7000718201756111,0.8463222686617197,Priorite haute
a-sac klim,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-couffin sac,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-mules daim,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-robe fillette,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-robe t-shirt,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-echarpe portage,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-robe noire,habillement,75.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4420215299112584,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6934709220753034,0.8459922237567042,Priorite haute
a-robe chic,habillement,109.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.1890712935103654,1.0,1.0,habillement,0.97,True,0.7248873954551525,0.840992466522179,0.8458683009790481,Priorite haute
a-pull brodé,habillement,72.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.46434066841721955,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6829012002247282,0.8454637376641755,Priorite haute
a-sandales cuir,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.7311949091144897,0.8453784231086636,Priorite haute
a-kimono,habillement,85.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.3676244015580546,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.7311949091144897,0.8453784231086636,Priorite haute
a-sac tissé,habillement,70.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4792200940878603,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6760319197912434,0.8451202736425012,Priorite haute
a-sac marin,habillement,70.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4792200940878603,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6760319197912434,0.8451202736425012,Priorite haute
a-pochette oeillets,habillement,70.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4792200940878603,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6760319197912434,0.8451202736425012,Priorite haute
a-sac couffin brodé,habillement,70.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4792200940878603,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6760319197912434,0.8451202736425012,Priorite haute
a-chaussures nino,habillement,199.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4805028616684691,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6754461783836331,0.8450909865721208,Priorite haute
"a-sac ""dot""",habillement,69.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4866598069231807,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6726488436312938,0.8449511198345038,Priorite haute
a-jebba turquoise,habillement,69.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4866598069231807,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6726488436312938,0.8449511198345038,Priorite haute
a-sefseri contemporain,habillement,200.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.48794257450378953,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.672068947508601,0.8449221250283692,Priorite haute
a-ensemble,habillement,200.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.48794257450378953,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.672068947508601,0.8449221250283692,Priorite haute
a-cape calligraphiée,habillement,200.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.48794257450378953,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.672068947508601,0.8449221250283692,Priorite haute
a-liquette,habillement,200.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.48794257450378953,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.672068947508601,0.8449221250283692,Priorite haute
a-chaussures cuir,habillement,139.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.034120091549246126,1.0,1.0,habillement,0.94,True,0.7248873954551525,0.9670056777466437,0.8446689615402713,Priorite haute
a-ceinture noire,habillement,65.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5164186582644622,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6594484936926968,0.8442911023375739,Priorite haute
a-sac couffin,habillement,65.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5164186582644622,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6594484936926968,0.8442911023375739,Priorite haute
a-couffin nattes cuir,habillement,65.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5164186582644622,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6594484936926968,0.8442911023375739,Priorite haute
a-ceinture camel,habillement,65.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5164186582644622,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6594484936926968,0.8442911023375739,Priorite haute
a-mules macramé,habillement,65.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5164186582644622,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6594484936926968,0.8442911023375739,Priorite haute
a-mules multicolores,habillement,65.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5164186582644622,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6594484936926968,0.8442911023375739,Priorite haute
a-chemise velours,habillement,190.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.4135454461505857,1.0,1.0,habillement,0.99,True,0.7248873954551525,0.7074409971913062,0.8441907275125045,Priorite haute
a-t-shirt d'allaitement,habillement,64.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5238583710997826,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6562289639018689,0.8441301258480325,Priorite haute
a-robe estivale,habillement,128.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.04771674963927809,1.0,1.0,habillement,0.94,True,0.7248873954551525,0.9544564409648824,0.8440414997011831,Priorite haute
a-t-shirt poisson,habillement,120.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.10723445232184116,1.0,1.0,habillement,0.95,True,0.7248873954551525,0.9031510877421007,0.8439762320400441,Priorite haute
a-chapeau pastel,habillement,90.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33042583738145265,1.0,1.0,habillement,0.98,True,0.7248873954551525,0.751639040600867,0.8439006296829824,Priorite haute
a-jebba courte,habillement,90.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.33042583738145265,1.0,1.0,habillement,0.98,True,0.7248873954551525,0.751639040600867,0.8439006296829824,Priorite haute
a-sweat stylé,habillement,62.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5387377967704234,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6498833018197433,0.8438128427439262,Priorite haute
a-kit bébé,habillement,135.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.00436124020796459,1.0,1.0,habillement,0.93,True,0.7248873954551525,0.9956576976157885,0.8436015625337285,Priorite haute
a-cape marron,habillement,60.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5536172224410641,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6436591880906074,0.8435016370574695,Priorite haute
a-gilet,habillement,60.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5536172224410641,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6436591880906074,0.8435016370574695,Priorite haute
a-echarpe brodée,habillement,60.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5536172224410641,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6436591880906074,0.8435016370574695,Priorite haute
a-pochette raphia,habillement,60.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5536172224410641,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6436591880906074,0.8435016370574695,Priorite haute
a-chaussures bébé,habillement,60.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5536172224410641,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6436591880906074,0.8435016370574695,Priorite haute
a-chapeau hommes,habillement,60.0,1,1,351,134.41378917378916,1,0.7192622950819673,0.5536172224410641,1.0,1.0,habillement,1.0,True,0.7248873954551525,0.6436591880906074,0.8435016370574695,Priorite haute
