product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,cat_score,feat_price_attractiveness,product_score,niveau_recommandation
a-collier calligraphié,bijoux,110.0,1,1,488,92.91122950819673,1,1.0,0.18392577945995114,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8446475423959017,0.9439460629112914,Priorite haute
a-parure poissons,bijoux,110.0,1,1,488,92.91122950819673,1,1.0,0.18392577945995114,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8446475423959017,0.9439460629112914,Priorite haute
a-collier anneaux tunis,bijoux,110.0,1,1,488,92.91122950819673,1,1.0,0.18392577945995114,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8446475423959017,0.9439460629112914,Priorite haute
a-collier khlel,bijoux,110.0,1,1,488,92.91122950819673,1,1.0,0.18392577945995114,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8446475423959017,0.9439460629112914,Priorite haute
a-collier argent massif,bijoux,110.0,1,1,488,92.91122950819673,1,1.0,0.18392577945995114,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8446475423959017,0.9439460629112914,Priorite haute
a-parure ethnic,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-boucles lapis-lazuli,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-collier torsade,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-porte-clé argent,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-bijoux nacrés,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-pendentif et boucles d'oreille ambre corail,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-bracelet quartz argent,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8383790658901887,0.9436326390860057,Priorite haute
a-broche lettre,bijoux,86.0,1,1,488,92.91122950819673,1,1.0,0.07438529734666478,1.0,1.0,bijoux,0.98,True,0.8390456193049876,0.9307647847281892,0.9432519250279057,Priorite haute
a-parure poisson,bijoux,85.0,1,1,488,92.91122950819673,1,1.0,0.08514825888027379,1.0,1.0,bijoux,0.98,True,0.8390456193049876,0.9215330640919653,0.9427903389960945,Priorite haute
a-collier floral,bijoux,85.0,1,1,488,92.91122950819673,1,1.0,0.08514825888027379,1.0,1.0,bijoux,0.98,True,0.8390456193049876,0.9215330640919653,0.9427903389960945,Priorite haute
a-bague soleil,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-bague ambre,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-bague verte,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-bracelet enfant,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-bague argent fleur,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-collier crayons,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-collier estival,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-collier ras du cou bleu,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-collier médaillon,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-collier bleu vert,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-pendentif incrusté or,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-collier pierre jaune,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-pendentif filigrane,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8021866440675334,0.9418230179948729,Priorite haute
a-boucles argent bois,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.8383790658901887,0.9411326390860058,Priorite haute
a-bijou wasta,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.8383790658901887,0.9411326390860058,Priorite haute
a-collier motif cuivre,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.8383790658901887,0.9411326390860058,Priorite haute
a-pendentif céramique,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.8383790658901887,0.9411326390860058,Priorite haute
a-sautoir chic,bijoux,75.0,1,1,488,92.91122950819673,1,1.0,0.19277787421636375,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.8383790658901887,0.9411326390860058,Priorite haute
a-parure florale,bijoux,105.0,1,1,488,92.91122950819673,1,1.0,0.13011097179190614,1.0,1.0,bijoux,0.98,True,0.8390456193049876,0.8848688535555035,0.9409571284692714,Priorite haute
a-collier perles et cuivre,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,0.96,True,0.8390456193049876,0.9780129424229872,0.9406143329126456,Priorite haute
a-parure cerceau,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-pendentif ruche,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-collier brodé pierres semi précieuses,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-collier pierre mauve,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-collier ethno chic,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-boucles d'oreilles bleues,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-pendentif et boucles d'oreille perles,bijoux,120.0,1,1,488,92.91122950819673,1,1.0,0.2915553947960411,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.774260247782804,0.9404266981806364,Priorite haute
a-bague trendy,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,0.96,True,0.8390456193049876,0.9696185058523997,0.9401946110841162,Priorite haute
a-bague nemli,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-parure fantaisie,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-collier macramé,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-boucles gomra,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-broche tanit,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
