productPK,product,productCode,categoryFK,startDate,endDate,flag
63,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
64,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
65,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
66,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
67,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
68,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
69,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
70,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.896,,y
71,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
72,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
73,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
74,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
75,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
76,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
77,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
78,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
79,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.897,,y
80,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
81,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
82,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
83,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
84,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
85,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
86,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
87,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
88,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
89,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.897,,y
90,Coffret Mathred + Lance Parfum + Chapelet,CMM,525,2026-04-21 19:46:07.897,,y
91,Stylos LilasDream,STL,525,2026-04-21 19:46:07.897,,y
92,Photophore Sidi Bousaid T1,Ph-T1,525,2026-04-21 19:46:07.897,,y
93,Photophore Sidi Bousaid T2,Ph-T2,525,2026-04-21 19:46:07.897,,y
94,Photophore Sidi Bousaid T3,Ph-T3,525,2026-04-21 19:46:07.897,,y
95,Photophore Sidi Bousaid T4,Ph-T4,525,2026-04-21 19:46:07.897,,y
96,Trio Bougies Sidi Bousaid,TB-01,525,2026-04-21 19:46:07.897,,y
97,Thermos à paille,TP-001,525,2026-04-21 19:46:07.897,,y
98,Personnalisation,Pers-1,525,2026-04-21 19:46:07.897,,y
99,Tote Bag personnalisé,TOT-001,525,2026-04-21 19:46:07.898,,y
