FactVentePK,dateFK,documentFK,channelFK,customerFK,productFK,price,quantity,remise,total_ht,tva,timbre,total_ttc,startDate,endDate,flag
57,20251224,1418,4,82,6603,150,1,0,0,0,0,150,2026-03-24 22:55:56.643,,y
58,20251223,1418,4,83,6604,45,1,0,0,0,0,123,2026-03-24 22:55:56.643,,y
59,20251223,1418,4,83,6586,48,2,0,0,0,0,123,2026-03-24 22:55:56.643,,y
60,20251223,1418,4,83,6587,30,3,0,0,0,0,123,2026-03-24 22:55:56.643,,y
61,20251222,1418,4,84,6577,30,1,0,0,0,0,79.9,2026-03-24 22:55:56.643,,y
62,20251222,1418,4,84,6590,49.9,2,0,0,0,0,79.9,2026-03-24 22:55:56.643,,y
63,20251222,1418,4,84,6577,30,1,0,0,0,0,79.9,2026-03-24 22:55:56.643,,y
64,20251222,1418,4,84,6590,49.9,2,0,0,0,0,79.9,2026-03-24 22:55:56.652,,y
65,20251222,1418,4,85,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.653,,y
66,20251219,1418,4,86,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.653,,y
67,20251218,1418,4,87,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.653,,y
68,20251217,1418,4,88,6586,48,1,0,0,0,0,93,2026-03-24 22:55:56.653,,y
69,20251217,1418,4,88,6604,45,2,0,0,0,0,93,2026-03-24 22:55:56.653,,y
70,20251217,563,4,89,6590,49.9,1,0,0,0,0,99.8,2026-03-24 22:55:56.655,,y
71,20251217,1418,4,90,6605,50,1,0,0,0,0,106,2026-03-24 22:55:56.655,,y
72,20251217,1418,4,90,6606,56,2,0,0,0,0,106,2026-03-24 22:55:56.655,,y
73,20251215,1418,4,91,6607,90,1,0,0,0,0,90,2026-03-24 22:55:56.655,,y
74,20251214,1418,4,92,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.655,,y
75,20251214,1418,4,93,6577,30,1,0,0,0,0,90,2026-03-24 22:55:56.655,,y
76,20251214,1418,4,93,6579,30,2,0,0,0,0,90,2026-03-24 22:55:56.655,,y
77,20251213,1418,4,94,6580,25,1,0,0,0,0,100,2026-03-24 22:55:56.655,,y
78,20251213,1418,4,94,6584,25,2,0,0,0,0,100,2026-03-24 22:55:56.657,,y
79,20251213,1418,4,94,6582,25,3,0,0,0,0,100,2026-03-24 22:55:56.657,,y
80,20251213,1418,4,94,6581,25,4,0,0,0,0,100,2026-03-24 22:55:56.657,,y
81,20251212,1418,4,95,6596,80,1,0,0,0,0,105,2026-03-24 22:55:56.657,,y
82,20251212,1418,4,95,6584,25,2,0,0,0,0,105,2026-03-24 22:55:56.657,,y
83,20251212,1418,4,96,6590,49.9,1,0,0,0,0,89.9,2026-03-24 22:55:56.657,,y
84,20251212,1418,4,96,6608,20,2,0,0,0,0,89.9,2026-03-24 22:55:56.657,,y
85,20251212,1418,4,96,6589,20,3,0,0,0,0,89.9,2026-03-24 22:55:56.657,,y
86,20251212,1418,4,97,6609,119,1,0,0,0,0,119,2026-03-24 22:55:56.657,,y
87,20251211,1418,4,98,6590,49.9,1,0,0,0,0,108.9,2026-03-24 22:55:56.657,,y
88,20251211,1418,4,98,6588,34,2,0,0,0,0,108.9,2026-03-24 22:55:56.657,,y
89,20251211,1418,4,98,6584,25,3,0,0,0,0,108.9,2026-03-24 22:55:56.657,,y
90,20251211,1418,4,99,6538,65,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
91,20251211,1418,4,99,6584,25,2,0,0,0,0,90,2026-03-24 22:55:56.657,,y
92,20251211,1418,4,100,6609,119,1,0,0,0,0,119,2026-03-24 22:55:56.657,,y
93,20251211,1418,4,101,6590,49.9,1,0,0,0,0,99.8,2026-03-24 22:55:56.657,,y
94,20251211,1418,4,102,6580,25,1,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
95,20251211,1418,4,102,6584,25,2,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
96,20251211,1418,4,102,6590,49.9,3,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
97,20251211,1418,4,103,6575,50,1,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
98,20251211,1418,4,103,6590,49.9,2,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
99,20251210,1418,4,104,6610,80,1,0,0,0,0,80,2026-03-24 22:55:56.657,,y
100,20251210,1418,4,105,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
101,20251210,564,4,106,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
102,20251209,1418,4,107,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
103,20251209,1418,4,108,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
104,20251208,565,4,109,6577,30,1,0,0,0,0,85,2026-03-24 22:55:56.657,,y
105,20251208,565,4,109,6584,25,2,0,0,0,0,85,2026-03-24 22:55:56.657,,y
106,20251205,566,4,110,6595,90,1,0,0,0,0,115,2026-03-24 22:55:56.657,,y
107,20251205,566,4,110,6580,25,2,0,0,0,0,115,2026-03-24 22:55:56.657,,y
108,20251205,567,4,111,6611,119,1,0,0,0,0,119,2026-03-24 22:55:56.657,,y
109,20251204,568,4,112,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
110,20251204,569,4,113,6612,119,1,0,0,0,0,119,2026-03-24 22:55:56.657,,y
111,20251203,570,4,114,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
112,20251202,571,4,115,6605,50,1,0,0,0,0,100,2026-03-24 22:55:56.657,,y
113,20251202,571,4,115,6589,20,2,0,0,0,0,100,2026-03-24 22:55:56.657,,y
114,20251202,571,4,115,6613,30,3,0,0,0,0,100,2026-03-24 22:55:56.657,,y
115,20251201,572,4,116,6583,50,1,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
116,20251201,572,4,116,6590,49.9,2,0,0,0,0,99.9,2026-03-24 22:55:56.657,,y
117,20251201,573,4,117,6614,25,1,0,0,0,0,25,2026-03-24 22:55:56.657,,y
118,20251201,574,4,118,6609,119,1,0,0,0,0,119,2026-03-24 22:55:56.657,,y
119,20251127,575,4,119,6576,90,1,0,0,0,0,90,2026-03-24 22:55:56.657,,y
120,20251125,576,4,120,6583,50,1,0,0,0,0,100,2026-03-24 22:55:56.665,,y
121,20251125,576,4,120,6580,25,2,0,0,0,0,100,2026-03-24 22:55:56.665,,y
122,20251125,577,4,121,6601,20,1,0,0,0,0,85,2026-03-24 22:55:56.665,,y
123,20251125,577,4,121,6615,35,2,0,0,0,0,85,2026-03-24 22:55:56.665,,y
124,20251125,577,4,121,6587,30,3,0,0,0,0,85,2026-03-24 22:55:56.665,,y
125,20251123,578,4,122,6577,30,1,0,0,0,0,90,2026-03-24 22:55:56.665,,y
126,20251123,578,4,122,6594,30,2,0,0,0,0,90,2026-03-24 22:55:56.665,,y
