supplierFK,productFK,documentFK,dateFK,quantity,price,remise,total_ht,tva,timbre
88,6371,1361,20251208,100.0,23.5,15.0,2350.0,19.0,1.0
88,6369,1362,20251209,50.0,23.5,15.0,1175.0,19.0,1.0
88,6370,1362,20251209,50.0,23.5,15.0,1175.0,19.0,1.0
88,6371,1362,20251209,50.0,23.5,15.0,1175.0,19.0,1.0
77,6372,1363,20250327,6.0,4.5,0,27.0,19.0,1.0
77,6373,1363,20250327,1.0,28.089,0,28.089,19.0,1.0
101,6374,1364,20250718,3.0,3.836,0,11.507999,7.0,1.0
102,6375,1365,20280106,20.0,10.084,0,201.68,19.0,1.0
102,6376,1365,20280106,30.0,2.101,0,63.030003,19.0,1.0
102,6377,1365,20280106,3.0,37.815,0,113.44499,19.0,1.0
102,6378,1365,20280106,5.0,1.681,0,8.405,19.0,1.0
103,6307,0,20250814,1.0,40.0,0,40.0,0,0
103,6307,0,20250815,2.0,3.0,0,6.0,0,0
104,6307,1367,20250424,0,0,0,"",0,0
104,6307,1367,20250427,0,0,0,"",0,0
104,6307,1367,20241127,0,0,0,"",0,0
104,6307,1367,20241214,0,0,0,"",0,0
104,6307,1367,20241206,0,0,0,"",0,0
104,6307,1367,20241207,0,0,0,"",0,0
104,6307,1367,20241224,0,0,0,"",0,0
105,6382,1368,20250127,2.0,18.5,0,37.0,7.0,1.0
71,6307,1369,20250210,4.0,0,0,0.0,7.0,1.0
71,6307,1369,20250210,3.0,0,0,0.0,7.0,1.0
71,6307,1370,20250227,1.0,0,0,0.0,7.0,1.0
71,6307,1370,20250227,1.0,0,0,0.0,7.0,1.0
0,6307,1371,20250203,12.0,30,0,360.0,7.0,1.0
0,6307,1371,20250203,15.0,24,0,360.0,7.0,1.0
106,6307,1372,20241230,50,0,0,0.0,7,1
106,6307,1372,20241230,45,0,0,0.0,7,1
107,6307,1373,20251129,6,40,0,240.0,0,0
107,6307,1373,20251129,6,45,0,270.0,0,0
107,6307,1373,20251129,5,35,0,175.0,0,0
107,6307,1373,20251129,11,27,0,297.0,0,0
107,6307,1373,20251129,3,33,0,99.0,0,0
107,6307,1373,20251129,5,10,0,50.0,0,0
107,6307,1373,20251129,2,11,0,22.0,0,0
107,6307,1374,-1,5,45,0,225.0,0,0
107,6307,1374,-1,7,12,0,84.0,0,0
107,6307,1374,-1,3,50,0,150.0,0,0
107,6307,1374,-1,5,37,0,185.0,0,0
107,6307,1374,-1,5,50,0,250.0,0,0
108,6307,1375,20250219,58,50,0,2900.0,7,1
57,6307,1376,20250122,1,2350,0,2350.0,0,0
109,6307,1377,20250420,850,"20,46",0,17391.0,7,0
109,6307,1376,20250325,900,"14,95",0,13455.0,7,0
0,6307,1378,20241205,435,17,0,7395.0,0,0
0,6307,1378,20241205,435,20,0,8700.0,0,0
8,6307,1429,20241209,435,0,0,0.0,0,1
110,6307,1379,20250813,5,65,0,325.0,0,0
110,6307,1379,20250813,5,55,0,275.0,0,0
110,6307,1379,20250813,16,5,0,80.0,0,0
110,6307,1379,20250813,10,10,0,100.0,0,0
111,6307,1380,20250917,6,13,0,78.0,0,0
111,6307,1380,20250917,6,10,0,60.0,0,0
112,6307,1381,20250821,100,841,0,84100.0,19,1
113,6307,1382,-1,0,0,0,"","290,704",0
114,6307,1383,-1,0,0,0,"",0,0
114,6307,1383,-1,0,0,0,"",0,0
115,6307,1384,20250921,33,8,0,264.0,7,0
115,6307,1384,20250921,4,6,0,24.0,7,0
115,6307,1384,20250921,6,6,0,36.0,7,0
115,6307,1384,20250921,4,12,0,48.0,7,0
115,6307,1384,20250921,8,7,0,56.0,7,0
115,6307,1385,20250819,18,8,0,144.0,7,0
115,6307,1385,20250819,42,3,0,126.0,7,0
115,6307,1385,20250819,3,7,0,21.0,7,0
115,6307,1385,20250819,6,7.5,0,45.0,7,0
115,6307,1385,20250819,5,12,0,60.0,7,0
115,6307,1386,20250804,34,8,0,272.0,7,0
115,6307,1387,20240124,75,8,0,600.0,7,0
115,6307,1387,20240124,10,9,0,90.0,7,0
115,6307,1387,20240124,20,7,0,140.0,7,0
115,6307,1387,20240124,25,7.5,0,187.5,7,0
115,6307,1387,20240124,25,7,0,175.0,7,0
115,6307,1387,20240124,15,45,0,675.0,7,0
116,6307,1388,20250218,8,10,0,80.0,0,0
116,6307,1388,20250218,1,12,0,12.0,0,0
63,6307,1389,20250217,12.0,5.000,0,60.0,1.000,2085.360
63,6307,1389,20250217,12.0,8.500,0,102.0,1.000,2085.360
63,6307,1389,20250217,12.0,8.000,0,96.0,1.000,2085.360
63,6307,1389,20250217,12.0,4.500,0,54.0,1.000,2085.360
63,6307,1389,20250217,2.0,19.500,0,39.0,1.000,2085.360
63,6307,1389,20250217,2.0,16.000,0,32.0,1.000,2085.360
63,6307,1389,20250217,2.0,26.000,0,52.0,1.000,2085.360
63,6307,1389,20250217,2.0,26.000,0,52.0,1.000,2085.360
63,6307,1389,20250217,12.0,5.000,0,60.0,1.000,2085.360
63,6307,1389,20250217,12.0,8.500,0,102.0,1.000,2085.360
63,6307,1389,20250217,12.0,8.000,0,96.0,1.000,2085.360
63,6307,1389,20250217,12.0,4.500,0,54.0,1.000,2085.360
63,6307,1389,20250217,2.0,19.500,0,39.0,1.000,2085.360
63,6307,1389,20250217,2.0,16.000,0,32.0,1.000,2085.360
63,6307,1389,20250217,2.0,26.000,0,52.0,1.000,2085.360
63,6307,1389,20250217,2.0,26.000,0,52.0,1.000,2085.360
63,6307,1389,20250217,24.0,5.000,0,120.0,1.000,2085.360
63,6307,1389,20250217,24.0,8.500,0,204.0,1.000,2085.360
63,6307,1389,20250217,24.0,8.000,0,192.0,1.000,2085.360
63,6307,1389,20250217,24.0,4.500,0,108.0,1.000,2085.360
63,6307,1389,20250217,4.0,19.500,0,78.0,1.000,2085.360
63,6307,1389,20250217,4.0,16.000,0,64.0,1.000,2085.360
63,6307,1389,20250217,4.0,26.000,0,104.0,1.000,2085.360
63,6307,1389,20250217,4.0,26.000,0,104.0,1.000,2085.360
27,6307,1390,20250224,1000,0.05,0,50.0,19.0,1.0
27,6307,1391,20250310,2000,0.05,0,100.0,19.0,1.0
27,6307,1392,20241121,500,1.25,0,625.0,19.0,1.0
25,7435,1393,20250212,1.2,80.000,0,96.0,7.0,1.000
117,6307,1394,20260905,1,0,0,0.0,7.0,1.00
117,6307,1394,20260905,1,0,0,0.0,7.0,1.00
117,6307,1394,20260905,1,0,0,0.0,7.0,1.00
117,6307,1395,20270305,2,0,0,0.0,7.0,1.00
117,6307,1395,20270305,1,0,0,0.0,7.0,1.00
117,6307,1395,20270305,1,0,0,0.0,7.0,1.00
117,6307,1395,20270305,1,0,0,0.0,7.0,1.00
117,6307,1395,20270305,1,0,0,0.0,7.0,1.00
117,6307,1396,20251006,1,0,0,0.0,7.0,1.00
117,6307,1397,20260506,1,0,0,0.0,7.0,1.00
117,6307,1397,20260506,1,0,0,0.0,7.0,1.00
117,6307,1398,20261206,1,0,0,0.0,7.0,1.00
117,6307,1399,20250907,1,0,0,0.0,7.0,1.00
117,6307,1399,20250907,1,0,0,0.0,7.0,1.00
117,6307,1400,20260307,1,0,0,0.0,7.0,1.00
117,6307,1400,20260307,1,0,0,0.0,7.0,1.00
117,6307,1401,20270707,1,0,0,0.0,7.0,1.00
117,6307,1401,20270707,1,0,0,0.0,7.0,1.00
117,6307,1401,20270707,1,0,0,0.0,7.0,1.00
117,6307,1402,20270208,1,0,0,0.0,7.0,1.00
117,6307,1402,20270208,1,0,0,0.0,7.0,1.00
117,6307,1402,20270208,1,0,0,0.0,7.0,1.00
117,6307,1402,20270208,1,0,0,0.0,7.0,1.00
117,6307,1403,20270708,1,0,0,0.0,7.0,1.00
117,6307,1403,20270708,1,0,0,0.0,7.0,1.00
117,6307,1403,20270708,1,0,0,0.0,7.0,1.00
117,6307,1403,20270708,1,0,0,0.0,7.0,1.00
117,6307,1404,20251009,1,0,0,0.0,7.0,1.00
117,6307,1404,20251009,1,0,0,0.0,7.0,1.00
117,6307,1404,20251009,1,0,0,0.0,7.0,1.00
117,6307,1405,20260310,1,0,0,0.0,7.0,1.00
117,6307,1405,20260310,1,0,0,0.0,7.0,1.00
117,6307,1406,20270710,1,0,0,0.0,7.0,1.00
117,6307,1407,20251111,1,0,0,0.0,7.0,1.00
117,6307,1407,20251111,1,0,0,0.0,7.0,1.00
117,6307,1408,20260412,1,0,0,0.0,7.0,1.00
84,6307,1409,20250811,50,6.5,0,325.0,19.0,1
84,6307,1410,20251106,50,6.5,0,325.0,19.0,1
118,6441,1411,20250718,1,3.668,0,3.668,19.0,1.000
118,6442,1411,20250718,3,8.145,0,24.435001,19.0,1.000
119,6307,1412,20250228,"144,157","2,0461",0,294.95963,19.0,1
119,6307,1413,20250331,"93,465","2,0461",0,191.23872,19.0,1
119,6307,1414,20250531,"66,535","2,046",0,136.13062,19.0,1
119,6307,1415,20250430,"91,089","2,046",0,186.36809,19.0,1
67,6307,1416,20250221,20,16.64,0,332.8,19.0,1
67,6307,1417,20250205,10,16.807,0,168.06999,19.0,1
67,6307,1417,20250205,10,42.017,0,420.16998,19.0,1
67,6307,1417,20250205,10,54.622,0,546.22003,19.0,1
67,6307,1417,20250205,5,18.487,0,92.435,19.0,1
