Fact_financePK,DateFK,CustomerFK,SupplierFk,DocumentFK,Total_HT,Total_TTC
168,20240124,0,115,1387,600,0
169,20240124,0,115,1387,90,0
170,20240124,0,115,1387,140,0
171,20240124,0,115,1387,187.5,0
172,20240124,0,115,1387,175,0
173,20240124,0,115,1387,675,0
174,20250218,0,116,1388,80,0
175,20250218,0,116,1388,12,0
176,20250217,0,63,1389,7,0
177,20250217,0,63,1389,7,0
178,20250217,0,63,1389,7,0
179,20250217,0,63,1389,7,0
180,20250217,0,63,1389,7,0
181,20250217,0,63,1389,7,0
182,20250217,0,63,1389,7,0
183,20250217,0,63,1389,7,0
184,20250217,0,63,1389,7,0
185,20250217,0,63,1389,7,0
186,20250217,0,63,1389,7,0
187,20250217,0,63,1389,7,0
188,20250217,0,63,1389,7,0
189,20250217,0,63,1389,7,0
190,20250217,0,63,1389,7,0
191,20250217,0,63,1389,7,0
192,20250217,0,63,1389,7,0
193,20250217,0,63,1389,7,0
194,20250217,0,63,1389,7,0
195,20250217,0,63,1389,7,0
196,20250217,0,63,1389,7,0
197,20250217,0,63,1389,7,0
198,20250217,0,63,1389,7,0
199,20250217,0,63,1389,7,0
200,20250224,0,27,1390,50,61.095
201,20250310,0,27,1391,100,121.19
202,20241121,0,27,1392,625,752.188
203,20250212,0,25,1393,96,104.747
204,20260905,0,117,1394,19.5,21.87
205,20260905,0,117,1394,19.5,21.87
206,20260905,0,117,1394,19.5,21.87
207,20270305,0,117,1395,35.5,35.78
208,20270305,0,117,1395,35.5,35.78
209,20270305,0,117,1395,35.5,35.78
210,20270305,0,117,1395,35.5,35.78
211,20270305,0,117,1395,35.5,35.78
212,20251006,0,117,1396,7,8.49
213,20260506,0,117,1397,13,14.91
214,20260506,0,117,1397,13,14.91
215,20261206,0,117,1398,6.5,7.96
216,20250907,0,117,1399,7.5,14.91
217,20250907,0,117,1399,7.5,14.91
218,20260307,0,117,1400,13,14.91
219,20260307,0,117,1400,13,14.91
220,20270707,0,117,1401,13,14.91
221,20270707,0,117,1401,13,14.91
